guid,id,sort-index,frequency-rank,frequency,part-of-speech,word,word-romanization,definition,sentence,sentence-romanization,sentence-meaning,word-audio,sentence-audio,word-auido-source,sentence-auido-source,tags
w8bfR)/b~!,d8f7cda5-22aa-4a7e-a55e-ab4821857d83,119,1263,76 | 1572,Noun,برادر,barâdar,brother,اَخَوان؟ شما <b>برادر</b> سارا نیستین؟,Axavân? Šomâ barâdar-e sârâ nistin?,Akhavan? Aren’t you Sara’s brother?,[sound:d8f7cda5-22aa-4a7e-a55e-ab4821857d83_word.mp3],[sound:d8f7cda5-22aa-4a7e-a55e-ab4821857d83_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
Nr2W1=`[i~,281ac752-1806-40ac-bfa3-d76bb98ccf32,120,38,95 | 9719,Adjective,بزرگ,bozorg,"large, big;<br>great;<br>major",‫سگ <b>بزرگ</b> است.‬,Sag bozorg ast.,The dog is big.,[sound:281ac752-1806-40ac-bfa3-d76bb98ccf32_word.mp3],[sound:281ac752-1806-40ac-bfa3-d76bb98ccf32_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
lfJhO7kKg0,81e48c62-a58d-49d5-a27d-e95fa51ba2e8,121,386,80 | 5212,"Adverb, Interjection",چرا,čerâ,"why?;<br>(response to a negative question or statement) yes, surely",<b>چرا</b>، من برادر بزرگشم.,"Čerâ, man barâdar-e bozorg-eš-am.","Yes, I am her older brother.",[sound:81e48c62-a58d-49d5-a27d-e95fa51ba2e8_word.mp3],[sound:81e48c62-a58d-49d5-a27d-e95fa51ba2e8_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"languages::Interjection, Persian5k::Adverb"
b+1d_z{tXb,20ba6bc0-02b3-49b9-b683-f8e72e0a2ac4,122,282,89 | 3633,Noun,خانواده <i>|</i> خونواده,xâne-vâde | xune-vâde,family;<br>household,‫<b>خانواده</b> بزرگ است.‬,Xâne-vâde bozorg ast.,The family is big.,[sound:20ba6bc0-02b3-49b9-b683-f8e72e0a2ac4_word.mp3],[sound:20ba6bc0-02b3-49b9-b683-f8e72e0a2ac4_sentence.mp3],PersianPod101 | Forvo,Goethe Verlag,Persian5k::Noun
ym^w:fJ]GO,b471a631-af15-4d7a-87e5-85fb8a246372,123,742,84 | 2012,Noun,عکس,aks,"photograph, picture",چه جالب. <b>عکس</b> از خونوادت داری؟,Če jâleb. Aks az xune-vâd-at dâri?,How interesting. Have you got photos of your family?,[sound:b471a631-af15-4d7a-87e5-85fb8a246372_word.mp3],[sound:b471a631-af15-4d7a-87e5-85fb8a246372_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
Lb2hR7NEBD,ff189d03-5aab-4445-840d-facf794a6d3e,125,1931,60 | 1586,Pronoun,کی,ki,who?,این خانوم <b>کی</b>ه؟ — این مامانمه.,In xânum ki-ye? — In mâmân-am-e.,Who’s this lady? — This is my mum.,[sound:ff189d03-5aab-4445-840d-facf794a6d3e_word.mp3],[sound:ff189d03-5aab-4445-840d-facf794a6d3e_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Pronoun
"A,xDI}~BF=",9df417cd-c278-4434-b3c6-adaac2ddcd3b,124,,,Noun,آلبوم,âlbom,album,این چیه؟ — <b>آلبوم</b> عکسه.,In či-ye? — Âlbom-e aks.e.,What’s this? — It’s a photo album.,[sound:9df417cd-c278-4434-b3c6-adaac2ddcd3b_word.mp3],[sound:9df417cd-c278-4434-b3c6-adaac2ddcd3b_sentence.mp3],Farsi School,PersianLanguageOnline,Persian5k::Pronoun
p(0>picNFP,a79067b3-9224-4e44-843d-3e28f9f7db7c,126,,,Noun,مادر بزرگ,mâdar-bozorg,grandmother,این خانوم چطور؟ — <b>مادر بزرگ</b>مه.,In xânum četor? — Mâdar bozorg-am-e.,How about this lady? — It’s my grandmother.,[sound:a79067b3-9224-4e44-843d-3e28f9f7db7c_word.mp3],[sound:a79067b3-9224-4e44-843d-3e28f9f7db7c_sentence.mp3],Farsi School,PersianLanguageOnline,"Persian5k::Pronoun, Persian5k::Topic::Family"
"F_ii@h,:U%",d987b7ce-20c7-416d-a691-0e03ad8594ff,127,135,85 | 10023,Noun,آقا,âġâ,"Mr., sir;<br>gentleman, lord",این <b>آقا</b> کیه؟ — اون پدرمه.,In âġâ ki-ye? — Un pedar-am-e.,Who’s this man? — That’s my father.,[sound:d987b7ce-20c7-416d-a691-0e03ad8594ff_word.mp3],[sound:d987b7ce-20c7-416d-a691-0e03ad8594ff_sentence.mp3],Farsi School,PersianLanguageOnline,Persian5k::Noun
I}DeNraz)Y,79558d61-589d-4bd5-bc7d-51ce1870f2d3,128,12,94 | 75302,"Numeral, Noun",یک <i>|</i> یه,yek | ye,one,‫و او <b>یک</b> کتاب خواند.‬,Va u yek ketâb xând.,And she read a book.,[sound:79558d61-589d-4bd5-bc7d-51ce1870f2d3_word.mp3],[sound:79558d61-589d-4bd5-bc7d-51ce1870f2d3_sentence.mp3],Persianpod101,Goethe Verlag,"Persian5k::Noun, Persian5k::Numeral"
n_cYKi(OXC,33abf566-7154-4428-95a6-98a2aac705c1,129,1335,64 | 2457,Adverb,الان,alân,now,<b>الان</b> خونه نیستن.,Alân xune nistan.,They're not at home now.,[sound:33abf566-7154-4428-95a6-98a2aac705c1_word.mp3],[sound:33abf566-7154-4428-95a6-98a2aac705c1_sentence.mp3],Persianpod101,Glossika,Persian5k::Adverb
kqkHHG3[*.,10c5b263-97a4-486f-b66f-399fe529c0a0,130,,,Particle,را <i>|</i> رو <i>|</i> و,râ | ro | o,direct object marker,‫من الان دارم این کتاب <b>را</b> می‌خوانم.‬,Man alân dâram in ketâb râ mixânam.,I am currently reading this book.,[sound:10c5b263-97a4-486f-b66f-399fe529c0a0_word.mp3],[sound:10c5b263-97a4-486f-b66f-399fe529c0a0_sentence.mp3],Farshi School | Persianpod101,Goethe Verlag,Persian5k::Particle
"N1,s0r)YRw",6438abd7-15ed-48f3-8b61-fa628c5abce6,131,87,85 | 14379,Verb,دانستن <i>|</i> دونستن ,dânestan | dunestan,to know (something),کِلی کجاست؟ — <b>نمیدونم</b>.,Keli kojâ-st? — Nemi-dunam.,Where's Kelly? — I don't know.,[sound:6438abd7-15ed-48f3-8b61-fa628c5abce6_word.mp3],[sound:6438abd7-15ed-48f3-8b61-fa628c5abce6_sentence.mp3],Persianpod101,Glossika,Persian5k::Verb
Bf&VimY=^^,9c4e0363-2068-4a8e-bdaa-483f3750a9ac,132,13,92 | 71442,"Determiner, Pronoun",آن <i>|</i> اون,ân | un,"that;<br>
it",‫من <b>آن</b> را می دانم – من <b>آن</b> را می دانستم.‬,Man ân râ mi-dânam — Man ân râ mi-dânestam.,I know that – I knew that.,[sound:9c4e0363-2068-4a8e-bdaa-483f3750a9ac_word.mp3],[sound:9c4e0363-2068-4a8e-bdaa-483f3750a9ac_sentence.mp3],Persianpod101,Goethe Verlag,"Persian5k::Determiner, Persian5k::Pronoun"
kW>2XEzDC_,8c854a93-7d92-43a8-9812-451b22b0a99e,133,122,92 | 5627,Adjective,جوان <i>|</i> جوون,javân | javun,young;<br>youthful,اون پسر <b>جوون</b> کیه؟ — برادرمه.,Un pesar-e javun ki-ye? — Barâdar-am-e.,Who’s that young boy? — He’s my brother.,[sound:8c854a93-7d92-43a8-9812-451b22b0a99e_word.mp3],[sound:8c854a93-7d92-43a8-9812-451b22b0a99e_sentence.mp3],PersianPod101 | Forvo,PersianLanguageOnline,Persian5k::Adjective
L1SJ#_hu7X,4125531c-50b4-48c6-8497-534a1c88e37e,134,893,85 | 1549,Noun,تلویزیون,televizyon,television,<b>تلویزیون</b> چی داره؟,Televizyon chi dâre?,What is there on TV?,[sound:4125531c-50b4-48c6-8497-534a1c88e37e_word.mp3],[sound:4125531c-50b4-48c6-8497-534a1c88e37e_sentence.mp3],PersianPod101,PersianLanguageOnline,Persian5k::Noun
Fr$v3g9BuC,d408a9da-0b12-4f6e-b2dd-94a5591e7321,135,476,89 | 2088,Noun,شنبه,šanbe,Saturday,‫امروز <b>شنبه</b> است.‬,Emruz šanbe ast.,Today is Saturday.,[sound:d408a9da-0b12-4f6e-b2dd-94a5591e7321_word.mp3],[sound:d408a9da-0b12-4f6e-b2dd-94a5591e7321_sentence.mp3],PersianLanguageOnline,Goethe Verlag,"Persian5k::Topic::Days-of-the-week, Persian5k::Noun"
qRYQPuRy(],9a570bb8-6ef7-43b6-9a14-7cd723912444,136,67,92 | 9282,"Adverb, Determiner",چند,čand,"how many?, how much?;<br>how long (in time)?;<br>some, a few, several",امروز <b>چند</b> شنبه است؟,Emruz čand šanb-ast?,What day is it today?,[sound:9a570bb8-6ef7-43b6-9a14-7cd723912444_word.mp3],[sound:9a570bb8-6ef7-43b6-9a14-7cd723912444_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Adverb, Persian5k::Determiner"
y_]WfD#*D?,f0b3646f-7164-492a-80fc-35de9af66b1d,137,378,76 | 6475,Noun,فیلم,film,"film, movie",الان <b>فیلم</b> داره.,Alân film dâre.,There is a film on now.,[sound:f0b3646f-7164-492a-80fc-35de9af66b1d_word.mp3],[sound:f0b3646f-7164-492a-80fc-35de9af66b1d_sentence.mp3],PersianPod101,PersianLanguageOnline,Persian5k::Noun
i+XyUJg+):,8dfa5201-4f50-4021-a0e7-a2b1b7a1d24a,138,490,79 | 4125,Noun,فوتبال,futbâl,"football, soccer",<b>فوتبال</b> نداره؟ — نه، فردا <b>فوتبال</b> داره.,Futbâl na-dâre? — Na. Fardâ futbâl dâre.,Isn't there football on? — No. There is football on tomorrow.,[sound:8dfa5201-4f50-4021-a0e7-a2b1b7a1d24a_word.mp3],[sound:8dfa5201-4f50-4021-a0e7-a2b1b7a1d24a_sentence.mp3],PersianPod101,PersianLanguageOnline,Persian5k::Noun
vB[`J(=76W,d1a5606c-2470-4fc7-abc2-52670fc46466,139,552,88 | 2061,Noun,جمعه,jom'e,Friday,<b>جمعه</b> چی داره؟,Jom’e či dâre?,What’s on on Friday?,[sound:d1a5606c-2470-4fc7-abc2-52670fc46466_word.mp3],[sound:d1a5606c-2470-4fc7-abc2-52670fc46466_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Topic::Days-of-the-week, Persian5k::Noun"
f5u~qD6J`N,4a891121-6d23-489a-ab5f-66bb9cf4c0d4,140,2798,78 | 401,Noun,تعطیل,ta'til,"vacation, holiday;<br>suspension <i>(of work, of activity)</i>",جمعه تو ایران <b>تعطیل</b>ه.,Jom’e tu irân ta'til-e.,Friday is holiday in Iran.,[sound:4a891121-6d23-489a-ab5f-66bb9cf4c0d4_word.mp3],[sound:4a891121-6d23-489a-ab5f-66bb9cf4c0d4_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Noun
G~%0v~uw{m,5a45af77-e31c-43ad-9156-f3899aae4d8b,141,,,Noun,کمدی,comedy,komedi,تلویزیون فیلم <b>کمدی</b> داره.,Televizyon film-e komedi dâre.,There are comedy films on TV.,[sound:5a45af77-e31c-43ad-9156-f3899aae4d8b_word.mp3],[sound:5a45af77-e31c-43ad-9156-f3899aae4d8b_sentence.mp3],PersianPod101,PersianLanguageOnline,Persian5k::Noun
v%c>AQCQZu,74764c30-8427-4267-a2f2-3e1c45f96cd2,142,,,Noun,اخبار,axbâr,news;<br>the news,چه روزی <b>اخبار</b> داره؟,Če ruz-i axbâr dâre?,What day is the news on?,[sound:74764c30-8427-4267-a2f2-3e1c45f96cd2_word.mp3],[sound:74764c30-8427-4267-a2f2-3e1c45f96cd2_sentence.mp3],PersianPod101,PersianLanguageOnline,Persian5k::Noun
QFOwMq_b>b,24b7763e-6701-43a8-b434-1c3cc05aa18c,143,26,93 | 22251,Determiner,هر,har,each;<br>every,<b>هر</b> روز اخبار داره.,Har ruz axbâr dâre.,The news is on every day.,[sound:24b7763e-6701-43a8-b434-1c3cc05aa18c_word.mp3],[sound:24b7763e-6701-43a8-b434-1c3cc05aa18c_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,Persian5k::Determiner
jPvv:XV/Z+,6e502529-a207-47a9-9f42-433260242a6b,145,3198,66 | 532,"Adverb, Noun",راستی,râsti,"by the way;<br>indeed;<br>truthfulness, truth",<b>راستی</b>، دیروز کجا بودی؟,"Râsti, diruz kojâ budi?","By the way, where were you yesterday?",[sound:6e502529-a207-47a9-9f42-433260242a6b_word.mp3],[sound:6e502529-a207-47a9-9f42-433260242a6b_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Adverb, Persian5k::Noun"
r5;R->j!?s,8d8e3456-b5b6-4c5f-8722-72b6e609b3d2,144,940,73 | 2803,"Adverb, Noun",دیروز,diruz,yesterday,‫<b>دیروز</b> شنبه بود.‬,Diruz šanbe bud.,Yesterday was Saturday.,[sound:8d8e3456-b5b6-4c5f-8722-72b6e609b3d2_word.mp3],[sound:8d8e3456-b5b6-4c5f-8722-72b6e609b3d2_sentence.mp3],PersianLanguageOnline,Goethe Verlag,"Persian5k::Adverb, Persian5k::Noun"
f}85q;bz.W,633e0764-1105-48de-9810-930af691ceeb,146,1099,71 | 2473,Noun,سینما,"sinemâ, sinamâ",cinema,‫من دیروز <b>سینما</b> بودم.‬,Man diruz sinemâ budam.,I was at the cinema yesterday.,[sound:633e0764-1105-48de-9810-930af691ceeb_word.mp3],[sound:633e0764-1105-48de-9810-930af691ceeb_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Noun
d<*{bf|NNl,9bf69611-62a2-46fc-8134-a048c3a0f121,147,446,87 | 2701,Adjective,زیاد,ziyâd,"much, a lot;<br>many, several;<br>too much",آره، من <b>زیاد</b> سینما ميرم.,"Âre, man ziyâd sinamɑ mi-ram.","Yes, I go to the movies a lot.",[sound:9bf69611-62a2-46fc-8134-a048c3a0f121_word.mp3],[sound:9bf69611-62a2-46fc-8134-a048c3a0f121_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Adjective
g*zxN**&M+,48d49610-f238-41d2-9d23-d1c355950f20,148,494,80 | 3864,Adverb,شاید,šâyad,"maybe, perhaps",<b>شاید</b> امشب برم سینما.,Šâyad emšab beram sinamâ.,I may go to the movies tonight.,[sound:48d49610-f238-41d2-9d23-d1c355950f20_word.mp3],[sound:48d49610-f238-41d2-9d23-d1c355950f20_sentence.mp3],PersianPod101,Glossika,Persian5k::Adverb
"hwrsF3-,[G",af384b3e-71f7-427b-afb9-b7a5779875f8,149,23,92 | 27589,Verb,توانستن,tavânestan,to be able; can,من <b>نمی‌تونم</b> برم سینما.,Man nemi-tunam beram sinamâ.,I can't go to the movies.,[sound:af384b3e-71f7-427b-afb9-b7a5779875f8_word.mp3],[sound:af384b3e-71f7-427b-afb9-b7a5779875f8_sentence.mp3],PersianPod101,Glossika,Persian5k::Verb
Nx+KQiZ]is,213455a4-d23b-49ed-945e-aeb0fab1b5d1,150,242,85 | 5942,Noun,ساعت,sâ'at,"hour, o’clock;<br>watch; clock",<b>ساعت</b> چنده؟,Sâ'at čand-e?,What time is it?,[sound:213455a4-d23b-49ed-945e-aeb0fab1b5d1_word.mp3],[sound:213455a4-d23b-49ed-945e-aeb0fab1b5d1_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Noun
wC?6caYz#?,8e6d40bb-be88-42cd-b6e8-47db7ffdc2c1,151,39,87 | 28637,"Numeral, Noun",دو,do,two,‫ساعت <b>دو</b> است.‬,Sâ'at do ast.,It is two o’clock.,[sound:8e6d40bb-be88-42cd-b6e8-47db7ffdc2c1_word.mp3],[sound:8e6d40bb-be88-42cd-b6e8-47db7ffdc2c1_sentence.mp3],PersianLanguageOnline,Goethe Verlag,"Persian5k::Noun, Persian5k::Numeral"
wwjPaO7N:D,e0bad9a8-07bf-4f51-a8a0-e66975a974a4,152,29,89 | 34518,Adverb,دیگر <i>|</i> دیگه,digar | dige,"other;<br>
another, more;<br>
next;<br>
already (An intensifier used to emphasize impatience or express exasperation)", <b>دیگر</b> این کار را نمی کنم. ,Digar in kâr râ nemi-koanm.,I won't do it again.,[sound:e0bad9a8-07bf-4f51-a8a0-e66975a974a4_word.mp3],[sound:e0bad9a8-07bf-4f51-a8a0-e66975a974a4_sentence.mp3],PersianPod101,PersianPod101,Persian5k::Adverb
m+mDxb;9%*,b3ff7bf8-6a92-4bad-925f-6ba152ff1161,153,,,"Adverb, Interjection",لطفا,lotfan,"kindly;<br>
please",<b>لطفا</b> نرو.,Lotfɑn naro.,Please don't go.,[sound:b3ff7bf8-6a92-4bad-925f-6ba152ff1161_word.mp3],[sound:b3ff7bf8-6a92-4bad-925f-6ba152ff1161_sentence.mp3],PersianLanguageOnline,Glossika,"Persian5k::Adverb, Persian5k::Interjection"
KJ!ooL:>kr,a34ea623-4305-434d-94b0-2e323adb32ad,154,96,89 | 8752,Noun,بار,bâr,"time, turn, occasion",یک <b>بار</b> دیگر، لطفا.,"Yek bâr-e digar, lotfan.","Once again, please.",[sound:a34ea623-4305-434d-94b0-2e323adb32ad_word.mp3],[sound:a34ea623-4305-434d-94b0-2e323adb32ad_sentence.mp3],PersianPod101,PersianPod101,Persian5k::Noun
D%arN}=UE2,37a3b6b5-1d22-4368-8e30-5cee11434e9d,155,686,69 | 4755,Verb,خوردن,xordan,to eat,من نمیتونم این رو <b>بخورم</b>.,Man nemi-tunam in ro bo-xoram.,I can't eat this.,[sound:37a3b6b5-1d22-4368-8e30-5cee11434e9d_word.mp3],[sound:37a3b6b5-1d22-4368-8e30-5cee11434e9d_sentence.mp3],PersianPod101,Glossika,Persian5k::Verb
NVbEK~;.3I,291ed68f-c628-481b-b250-0f65c226bbd5,156,1869,82 | 659,Noun,میوه,mive,fruit,اون خیلی زیاد <b>میوه</b> میخوره.,Un xeyli ziyâd mive mi-xore.,She eats a lot of fruit.,[sound:291ed68f-c628-481b-b250-0f65c226bbd5_word.mp3],[sound:291ed68f-c628-481b-b250-0f65c226bbd5_sentence.mp3],PersianPod101,Glossika,Persian5k::Noun
3a?-iJ(F!,fd49f6c6-b3b8-450a-b817-638d0ca6c6d7,157,,,Noun,پرتقال,porteġâl,orange (fruit),من هر روز <b>پرتقال</b> میخورم.,Man har ruz porteġâl mi-xoram.,I eat an orange every day.,[sound:fd49f6c6-b3b8-450a-b817-638d0ca6c6d7_word.mp3],[sound:fd49f6c6-b3b8-450a-b817-638d0ca6c6d7_sentence.mp3],PersianPod101,Glossika,"Persian5k::Noun, Persian5k::Topic::Food::Fruits"
"Q5v,{?&0SG",600adbf3-7f19-4e32-8677-de4574050f7d,158,1434,78 | 1245,Noun,ماهی,mâhi,fish,<b>ماهی</b> میخوره؟,Mâhi mi-xore?,Does he eat fish?,[sound:600adbf3-7f19-4e32-8677-de4574050f7d_word.mp3],[sound:600adbf3-7f19-4e32-8677-de4574050f7d_sentence.mp3],PersianLanguageOnline,Glossika,"Persian5k::Noun, Persian5k::Topic::Animals, Persian5k::Topic::Food"
s%KSbkBLjt,1b9356e8-720a-4502-965b-4fcb808bf63c,159,4538,64 | 284,Noun,سیب,sib,apple,اون داره <b>سیب</b> میخوره.,Un dâre sib mi-xore.,She's eating an apple.,[sound:1b9356e8-720a-4502-965b-4fcb808bf63c_word.mp3],[sound:1b9356e8-720a-4502-965b-4fcb808bf63c_sentence.mp3],PersianPod101,Glossika,"Persian5k::Noun, Persian5k::Topic::Food::Fruits"
raH0Vp{G>M,7d7ea911-c2d4-4b27-86f0-3d77253f885f,162,143,84 | 10186,Adverb,در حالِ,dar hâl-e,"in the middle of, in the process of;<br>while",من <b>در حال</b> غذا خوردن نیستم.,Man dar hâl-e ġazâ xordan nistam.,I'm not (in the process of) eating.,[sound:7d7ea911-c2d4-4b27-86f0-3d77253f885f_word.mp3],[sound:7d7ea911-c2d4-4b27-86f0-3d77253f885f_sentence.mp3],Farsi School,Glossika,Persian5k::Adverb
J[lq5_6g.l,e18ac376-430c-4e19-8bf1-58178f122597,160,1634,72 | 1357,Verb,دوست داشتن,dust dâštan,to like;<br>to love,اونو <b>دوست داری</b>؟,Un-o dust dâri?,Do you love her?,[sound:e18ac376-430c-4e19-8bf1-58178f122597_word.mp3],[sound:e18ac376-430c-4e19-8bf1-58178f122597_sentence.mp3],PersianLanguageOnline,Glossika,Persian5k::Verb
la8e!:]M=E,8cbb3178-dc30-4150-a34f-74b7c48256d1,161,1275,80 | 1293,Noun,غذا,ġazâ,food,<b>غذا</b>ی ایرانی‌ دوست داری؟,Ġazâ-ye irâni dust dâri?,Do you like Iranian food?,[sound:8cbb3178-dc30-4150-a34f-74b7c48256d1_word.mp3],[sound:8cbb3178-dc30-4150-a34f-74b7c48256d1_sentence.mp3],PersianPod101,PersianPod101,"Persian5k::Noun, Persian5k::Topic::Food"
EmtDzQcr+(,fa127248-a885-4eb3-9b3f-23c8b1b73611,163,1635,82 | 796,Noun,گوشت,gušt,meat,اون <b>گوشت</b> نمی‌خوره.,Un gušt nemi-xore.,He doesn't eat meat.,[sound:fa127248-a885-4eb3-9b3f-23c8b1b73611_word.mp3],[sound:fa127248-a885-4eb3-9b3f-23c8b1b73611_sentence.mp3],PersianPod101,Glossika,"Persian5k::Noun, Persian5k::Topic::Food"
z-{JqMGR6[,f2dfc632-f7d8-4edf-8480-63bf3b0097d3,164,142,80 | 12627,Numeral,سه,se,three, این را <b>سه</b> بار در روز بخورید. ,In râ se bâr dar ruz boxorid.,Take this three times a day.,[sound:f2dfc632-f7d8-4edf-8480-63bf3b0097d3_word.mp3],[sound:f2dfc632-f7d8-4edf-8480-63bf3b0097d3_sentence.mp3],PersianLanguageOnline,PersianPod101,Persian5k::Numeral
Hsb!NZxdAj,6ada0329-1b7f-444a-860b-af46a419dcd5,165,2098,65 | 1129,Noun,سه‌شنبه,se-šanbe,Tuesday,راستی، دیروز کجا بودی؟ — دیروز <b>سه شنبه</b> بود. دانشگاه بودم.,"Râsti, diruz kojâ budi? — Diruz se-šanbe bud. Dânešgâh budam.","By the way, where were you yesterday? — Yesterday it was Tuesday. I was at university.",[sound:6ada0329-1b7f-444a-860b-af46a419dcd5_word.mp3],[sound:6ada0329-1b7f-444a-860b-af46a419dcd5_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Noun, Persian5k::Topic::Days-of-the-week"
I6[9tixd?s,07d3b889-5d4d-48e0-9d00-c4cffc7fee7a,166,108,87 | 9861,Adjective,جدید,jadid,"new, recent",ما الان یه ماشین <b>جدید</b> داریم.,Mâ alân ye mâšine jadid dârim.,We have a new car now.,[sound:07d3b889-5d4d-48e0-9d00-c4cffc7fee7a_word.mp3],[sound:07d3b889-5d4d-48e0-9d00-c4cffc7fee7a_sentence.mp3],Farsi School,Glossika,Persian5k::Adjective
QwcHCXK1-o,672c6d69-25e5-462c-be87-135b869b89fb,167,438,71 | 6995,Numeral,چهار,čahâr,four,‫ساعت <b>چهار</b> است.‬,Sâ'at čahâr ast.,It is four o’clock.,[sound:672c6d69-25e5-462c-be87-135b869b89fb_word.mp3],[sound:672c6d69-25e5-462c-be87-135b869b89fb_sentence.mp3],PersianPod101,Goethe Verlag,Persian5k::Numeral
F)_WON-FUj,d8c68516-5590-42ca-8e3f-df4b5245a6e7,168,1433,77 | 1289,Noun,یک‌شنبه, 	yek-šanbe ,Sunday,چه روزی کلاس فارسی داریم؟ — <b>یک شنبه</b>.,Če ruz-i kelâs-e fârsi dârim? — Yek šanbe.,What day do we have Persian class? — Sunday.,[sound:d8c68516-5590-42ca-8e3f-df4b5245a6e7_word.mp3],[sound:d8c68516-5590-42ca-8e3f-df4b5245a6e7_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Noun, Persian5k::Topic::Days-of-the-week"
pRCg*{+>|u,e08aa10e-a3b5-4da1-9b82-4059f8dc8a5b,169,,,"Noun, Adverb",پس‌فردا,pas-fardâ,the day after tomorrow,فردا یک شنبه است؟ — نه فردا شنبه است. کلاس فارسی <b>پس فردا</b>ست.,Fardâ yek-šanb-ast? — Na fardâ šanb-ast. Kelâs-e fârsi pas-fardâ-st.,Is it Sunday tomorrow? — No. Tomorrow it is Saturday. Persian class is the day after tomorrow.,[sound:e08aa10e-a3b5-4da1-9b82-4059f8dc8a5b_word.mp3],[sound:e08aa10e-a3b5-4da1-9b82-4059f8dc8a5b_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Adverb, Persian5k::Noun, Persian5k::Topic::Time"
RgNU^e5uJ[,c5430600-23e2-4ff9-ab29-56f9519762eb,170,1200,81 | 1284,Noun,چهارشنبه,čahâr-šanbe,Wednesday,امروز چند شنبه است؟ — <b>چهارشنبه</b>.,Emruz čand šanb-ast? — čahâr-šanbe.,What day is it today? — Wednesday.,[sound:c5430600-23e2-4ff9-ab29-56f9519762eb_word.mp3],[sound:c5430600-23e2-4ff9-ab29-56f9519762eb_sentence.mp3],PersianLanguageOnline,PersianLanguageOnline,"Persian5k::Noun, Persian5k::Topic::Days-of-the-week, Persian5k::Topic::Time"
xvUl=oZhPx,80e4cf7d-b220-490a-b0a9-2ac9882262cd,171,318,83 | 5462,Adverb,فقط,faġat,"only;<br>merely, just",<b>فقط</b> امروز!,Faġat emruz.,"Today only!
",[sound:80e4cf7d-b220-490a-b0a9-2ac9882262cd_word.mp3],[sound:80e4cf7d-b220-490a-b0a9-2ac9882262cd_sentence.mp3],PersianLanguageOnline,PersianPod101,Persian5k::Adverb
